feature,importance
cat__event_type_ANOMALY_DETECTED,0.26057361459540584
cat__user_key_id_None,0.12980583999927262
cat__user_id_None,0.10908057516003962
cat__plugin_name_None,0.09433997733783472
cat__event_type_PLUGIN_EXECUTED,0.09003579720855263
cat__event_type_AUTO_MITIGATION_RECOMMENDED,0.05236494201663585
cat__user_id_1.0,0.03578483751674324
num__anomaly_score,0.030546044148038874
cat__event_type_REPLAY_DETECTED,0.02907432327119119
cat__event_type_HANDSHAKE_INITIATED,0.02431985195869909
num__org_id,0.020596503183808033
cat__event_type_BEHAVIOR_CORRELATED,0.019713353862694526
cat__user_key_id_1.0,0.018366509094218938
cat__event_type_HANDSHAKE_COMPLETED,0.018319350993541365
num__handshake_id,0.014693278374143052
cat__user_key_id_2.0,0.013880404033572213
cat__user_id_2.0,0.008726169059499939
num__hour,0.005117360104529984
num__month,0.0037220148605285512
cat__plugin_name_flagRapidHandshakeBurst,0.003383153254345567
cat__plugin_name_flagRepeatNonce,0.0033453917197465576
cat__plugin_name_builtin_always_allow,0.0030700132699412984
num__day_of_week,0.0030054255208074765
cat__plugin_name_devForcePluginError,0.0014215645985790662
cat__plugin_name_flagUnknownNetwork,0.001213230076477662
cat__event_type_ANOMALY_RESOLVED,0.0011146813523146483
cat__user_id_3.0,0.0006709103846309899
cat__user_key_id_3.0,0.0006224628798924057
cat__user_key_id_7.0,0.0005508234291518428
cat__user_key_id_4.0,0.0002815274433077231
cat__event_type_POLICY_BLOCKED,0.0002751185085279293
cat__user_id_7.0,0.00026945550397635174
cat__user_id_6.0,0.0002336510744516221
cat__event_type_AUTO_BLOCK_APPLIED,0.00022608106650244184
cat__user_id_9.0,0.00021880961055607161
cat__user_key_id_6.0,0.00021450644762113032
cat__user_id_8.0,0.00019407191910851342
cat__user_id_4.0,0.00018023130922478227
cat__user_key_id_8.0,0.00014491326389860532
cat__event_type_OTP_VERIFY_FAILED,9.654474370358974e-05
cat__user_key_id_9.0,9.1161716777047e-05
cat__user_key_id_10.0,4.5764644255816174e-05
cat__event_type_OTP_VERIFIED,4.2857187995806354e-05
cat__event_type_OTP_CREATED,1.2442974302719806e-05
cat__user_id_10.0,8.335827097424718e-06
cat__event_type_PLUGIN_ERROR,6.123493854686235e-06
cat__user_id_5.0,0.0
cat__user_id_12.0,0.0
cat__user_id_17.0,0.0
cat__user_id_20.0,0.0
cat__user_key_id_5.0,0.0
cat__user_key_id_17.0,0.0
cat__user_key_id_20.0,0.0
cat__user_key_id_12.0,0.0
